row,total_meetings,lead_score,customer_sentiment,buying_intent,relationship_strength,budget_status,decision_maker_involvement,customer_urgency,main_objections,product_interest_level,meeting_outcome,customer_requirements,risk_factors,competitor_mention,engagement_score,implementation_readiness,upsell_opportunity,deal_score,predicted_deal_score,priority_band,recommended_action,absolute_error,error
214,9,40.3,Negative,High,4,Under Review,No,Critical,Lack of Internal Buy-in,Medium,Rescheduled,Scalable Infrastructure,Budget Constraints,No,38.7,Partially Ready,No,28,33.78,LOW,Qualify further before investing sales capacity.,5.78,5.780000000000001
215,7,14.7,Positive,Low,5,Not Allocated,No,Low,Lack of Internal Buy-in,Medium,Proposal Sent,Standard Package,No Risk Identified,No,23.8,Fully Ready,No,44,44.34,LOW,Qualify further before investing sales capacity.,0.34,0.3400000000000034
216,5,75.5,Positive,High,6,Not Allocated,Yes,Critical,No Objections,Medium,Proposal Sent,Scalable Infrastructure,No Risk Identified,No,22.5,Fully Ready,Yes,60,55.75,MEDIUM,"Nurture - resolve open objections, confirm budget.",4.25,-4.25
217,6,56.3,Neutral,Medium,7,Under Review,Indirect,Medium,No Objections,Low,Rescheduled,Multi-department Rollout,No Risk Identified,No,98.5,Not Ready,Yes,46,44.75,LOW,Qualify further before investing sales capacity.,1.25,-1.25
218,8,71.6,Negative,Medium,3,Not Allocated,No,Critical,Price Too High,Medium,Discussed Requirements,API / Technical Integration,Economic Uncertainty,No,17.4,Partially Ready,No,36,28.62,LOW,Qualify further before investing sales capacity.,7.38,-7.379999999999999
219,6,66.5,Neutral,High,10,Not Allocated,Yes,Medium,Budget Not Allocated; Price Too High,Very High,Proposal Sent,Compliance-driven Requirements,Economic Uncertainty,No,31.9,Partially Ready,Yes,48,47.36,LOW,Qualify further before investing sales capacity.,0.64,-0.6400000000000006
220,6,55.3,Positive,Low,4,Partially Approved,Yes,Low,Long Implementation Time,Medium,Proposal Sent,Customized Integration,Competitor Pressure,Yes,77.5,Partially Ready,No,50,51.24,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.24,1.240000000000002
221,6,12.8,Negative,Medium,3,Under Review,No,Medium,Budget Not Allocated; Competitor Preference; Price Too High,Low,Rescheduled,Standard Package,Competitor Pressure,Yes,55.5,Ready,No,33,32.66,LOW,Qualify further before investing sales capacity.,0.34,-0.3400000000000034
222,10,96.6,Negative,Low,2,Fully Approved,Yes,Low,Competitor Preference; Long Implementation Time; No Urgent Business Need,High,Rescheduled,API / Technical Integration,No Risk Identified,Yes,93.0,Partially Ready,Yes,38,52.94,MEDIUM,"Nurture - resolve open objections, confirm budget.",14.94,14.939999999999998
223,4,54.7,Positive,Medium,5,Fully Approved,Yes,High,Long Implementation Time; Missing Features; Unfavorable Contract Terms,Low,Rescheduled,API / Technical Integration,No Risk Identified,No,10.2,Partially Ready,No,64,57.58,MEDIUM,"Nurture - resolve open objections, confirm budget.",6.42,-6.420000000000002
224,4,9.2,Neutral,Medium,7,Under Review,Yes,Critical,Missing Features,Very High,No Show / Cancelled,API / Technical Integration,No Risk Identified,No,25.8,Ready,No,55,48.76,LOW,Qualify further before investing sales capacity.,6.24,-6.240000000000002
225,9,48.9,Neutral,Low,8,Not Allocated,No,Low,Long Implementation Time; Missing Features; Poor Past Experience / Support; Price Too High,Low,Proposal Sent,Multi-department Rollout,Internal Politics,Yes,92.4,Not Ready,No,19,18.52,VERY LOW,Deprioritise or disqualify.,0.48,-0.4800000000000004
226,4,78.0,Positive,Low,4,Under Review,Indirect,Low,Lack of Internal Buy-in; No Urgent Business Need,Very High,Proposal Sent,Basic Feature Set,No Risk Identified,No,43.9,Partially Ready,No,49,48.37,LOW,Qualify further before investing sales capacity.,0.63,-0.6300000000000026
227,6,23.6,Negative,Medium,2,Partially Approved,No,High,Price Too High,Low,No Show / Cancelled,Basic Feature Set,Internal Politics,Yes,21.2,Partially Ready,No,33,30.95,LOW,Qualify further before investing sales capacity.,2.05,-2.0500000000000007
228,7,52.8,Positive,High,5,Partially Approved,Indirect,High,No Objections,High,Verbal Agreement,Basic Feature Set,Economic Uncertainty,No,18.3,Partially Ready,Yes,72,65.8,MEDIUM,"Nurture - resolve open objections, confirm budget.",6.2,-6.200000000000003
229,8,94.7,Positive,High,9,Fully Approved,Yes,Medium,No Objections,High,Verbal Agreement,Compliance-driven Requirements,No Risk Identified,No,91.1,Partially Ready,Yes,92,92.95,HIGH,Prioritise - push for close this cycle.,0.95,0.9500000000000028
230,4,15.0,Neutral,Medium,8,Under Review,Yes,Low,Budget Not Allocated,Medium,Discussed Requirements,Basic Feature Set,No Risk Identified,No,43.2,Fully Ready,No,57,52.94,MEDIUM,"Nurture - resolve open objections, confirm budget.",4.06,-4.060000000000002
231,6,53.7,Positive,Medium,5,Not Allocated,Indirect,Critical,Lack of Internal Buy-in,High,Discussed Requirements,Basic Feature Set,Budget Constraints,Yes,47.1,Fully Ready,No,35,40.2,LOW,Qualify further before investing sales capacity.,5.2,5.200000000000003
232,11,51.8,Negative,High,2,Partially Approved,Indirect,Medium,Lack of Internal Buy-in; No Urgent Business Need,High,Verbal Agreement,Customized Integration,No Risk Identified,No,62.0,Ready,No,53,56.34,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.34,3.3400000000000034
233,4,80.9,Positive,Medium,5,Under Review,Indirect,High,Budget Not Allocated,Low,Rescheduled,Compliance-driven Requirements,No Risk Identified,No,95.6,Ready,No,51,46.48,LOW,Qualify further before investing sales capacity.,4.52,-4.520000000000003
234,8,97.6,Positive,High,9,Not Allocated,Indirect,Medium,Price Too High,Very High,Proposal Sent,Customized Integration,No Risk Identified,No,70.4,Not Ready,Yes,46,54.55,MEDIUM,"Nurture - resolve open objections, confirm budget.",8.55,8.549999999999997
235,4,64.0,Neutral,Low,4,Partially Approved,Indirect,Low,Competitor Preference,Medium,No Show / Cancelled,API / Technical Integration,Economic Uncertainty,Yes,15.7,Fully Ready,No,40,39.59,LOW,Qualify further before investing sales capacity.,0.41,-0.4099999999999966
236,9,54.4,Positive,Medium,9,Partially Approved,Indirect,Low,Lack of Internal Buy-in; Missing Features; No Urgent Business Need,Low,Verbal Agreement,Standard Package,No Risk Identified,No,72.0,Fully Ready,No,61,61.16,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.16,0.1599999999999966
237,4,9.9,Negative,Medium,6,Under Review,No,High,Budget Not Allocated; Price Too High,High,Discussed Requirements,API / Technical Integration,Economic Uncertainty,No,31.3,Not Ready,Yes,34,33.27,LOW,Qualify further before investing sales capacity.,0.73,-0.7299999999999969
238,7,58.8,Positive,Low,9,Under Review,Yes,Medium,Competitor Preference; Long Implementation Time; Security / Compliance Concerns,Medium,Discussed Requirements,Compliance-driven Requirements,Budget Constraints,Yes,60.4,Partially Ready,Yes,40,41.87,LOW,Qualify further before investing sales capacity.,1.87,1.8699999999999974
239,8,59.2,Neutral,Medium,6,Partially Approved,Yes,High,No Objections,High,Discussed Requirements,Compliance-driven Requirements,Technical Concerns,No,13.8,Not Ready,Yes,51,56.51,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.51,5.509999999999998
240,8,53.1,Neutral,High,4,Partially Approved,Indirect,High,No Objections,High,Discussed Requirements,Standard Package,Economic Uncertainty,No,46.8,Partially Ready,Yes,57,56.82,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.18,-0.17999999999999972
241,10,88.3,Positive,High,8,Fully Approved,Yes,Medium,No Objections,High,Proposal Sent,Multi-department Rollout,No Risk Identified,No,94.0,Partially Ready,No,79,81.18,HIGH,Prioritise - push for close this cycle.,2.18,2.180000000000007
242,9,83.2,Neutral,High,8,Partially Approved,Indirect,High,Competitor Preference; Missing Features,Very High,Proposal Sent,Enterprise-grade Security,No Risk Identified,Yes,54.9,Fully Ready,Yes,70,61.94,MEDIUM,"Nurture - resolve open objections, confirm budget.",8.06,-8.060000000000002
243,3,38.4,Neutral,Low,6,Partially Approved,No,Medium,Price Too High,Low,Rescheduled,Basic Feature Set,No Risk Identified,No,79.4,Partially Ready,No,44,45.46,LOW,Qualify further before investing sales capacity.,1.46,1.4600000000000009
244,8,81.6,Negative,High,2,Fully Approved,Yes,Critical,Competitor Preference,Very High,Rescheduled,Standard Package,No Risk Identified,Yes,57.1,Not Ready,Yes,57,69.15,MEDIUM,"Nurture - resolve open objections, confirm budget.",12.15,12.150000000000006
245,12,32.0,Neutral,High,5,Partially Approved,Yes,Medium,No Objections,High,Verbal Agreement,Scalable Infrastructure,No Risk Identified,Yes,96.6,Ready,Yes,59,69.65,MEDIUM,"Nurture - resolve open objections, confirm budget.",10.65,10.650000000000006
246,7,26.2,Positive,Low,9,Not Allocated,No,Medium,Competitor Preference; Poor Past Experience / Support; Unfavorable Contract Terms,Low,Rescheduled,Compliance-driven Requirements,No Risk Identified,Yes,89.1,Not Ready,No,23,28.94,LOW,Qualify further before investing sales capacity.,5.94,5.940000000000001
247,12,6.4,Positive,Low,6,Under Review,Indirect,Medium,Long Implementation Time; Poor Past Experience / Support; Price Too High,Medium,Discussed Requirements,Multi-department Rollout,Internal Politics,No,50.7,Partially Ready,Yes,30,28.59,LOW,Qualify further before investing sales capacity.,1.41,-1.4100000000000001
248,6,67.2,Positive,Medium,9,Not Allocated,Yes,Medium,Budget Not Allocated; Missing Features,Medium,Discussed Requirements,API / Technical Integration,No Risk Identified,No,47.4,Ready,Yes,54,51.12,MEDIUM,"Nurture - resolve open objections, confirm budget.",2.88,-2.8800000000000026
249,3,31.0,Neutral,Medium,6,Partially Approved,Indirect,Low,Lack of Internal Buy-in,Medium,Proposal Sent,Standard Package,Stakeholder Turnover,No,24.8,Fully Ready,Yes,55,55.93,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.93,0.9299999999999997
250,4,31.6,Neutral,Medium,6,Fully Approved,Yes,Low,Long Implementation Time; Missing Features,High,No Show / Cancelled,API / Technical Integration,No Risk Identified,No,5.7,Partially Ready,No,46,55.23,MEDIUM,"Nurture - resolve open objections, confirm budget.",9.23,9.229999999999997
251,6,29.4,Neutral,High,8,Not Allocated,Indirect,High,Price Too High,Medium,Proposal Sent,Basic Feature Set,Economic Uncertainty,No,97.2,Ready,No,51,43.87,LOW,Qualify further before investing sales capacity.,7.13,-7.130000000000003
252,4,83.5,Positive,Low,9,Fully Approved,Yes,Low,Long Implementation Time; Poor Past Experience / Support; Unfavorable Contract Terms,High,Verbal Agreement,Customized Integration,No Risk Identified,No,69.4,Not Ready,No,62,66.66,MEDIUM,"Nurture - resolve open objections, confirm budget.",4.66,4.659999999999997
253,3,73.2,Negative,Low,2,Partially Approved,No,Low,Price Too High,Very High,Rescheduled,Customized Integration,Economic Uncertainty,No,14.8,Ready,Yes,35,39.15,LOW,Qualify further before investing sales capacity.,4.15,4.149999999999999
254,9,29.1,Positive,Low,3,Fully Approved,Yes,Medium,Competitor Preference; Missing Features,Medium,Rescheduled,API / Technical Integration,No Risk Identified,Yes,36.8,Not Ready,No,48,43.44,LOW,Qualify further before investing sales capacity.,4.56,-4.560000000000002
255,6,53.4,Negative,Medium,4,Under Review,No,Critical,No Objections,Medium,Discussed Requirements,Scalable Infrastructure,Stakeholder Turnover,Yes,26.4,Ready,No,30,35.69,LOW,Qualify further before investing sales capacity.,5.69,5.689999999999998
256,8,57.6,Positive,High,8,Fully Approved,Yes,Low,Competitor Preference,High,Verbal Agreement,Basic Feature Set,No Risk Identified,Yes,96.9,Partially Ready,No,88,85.93,HIGH,Prioritise - push for close this cycle.,2.07,-2.069999999999993
257,8,13.1,Positive,Medium,9,Fully Approved,Yes,Medium,No Objections,High,Verbal Agreement,Multi-department Rollout,No Risk Identified,No,97.5,Partially Ready,No,74,74.44,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.44,0.4399999999999977
258,4,94.0,Positive,High,8,Under Review,Yes,High,Budget Not Allocated; Security / Compliance Concerns,Very High,Verbal Agreement,Enterprise-grade Security,No Risk Identified,No,64.6,Partially Ready,Yes,76,70.97,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.03,-5.030000000000001
259,5,96.0,Neutral,Medium,7,Fully Approved,Yes,Medium,Long Implementation Time,High,Verbal Agreement,Customized Integration,No Risk Identified,No,83.3,Not Ready,Yes,65,77.2,HIGH,Prioritise - push for close this cycle.,12.2,12.200000000000003
260,7,87.0,Positive,Medium,10,Partially Approved,Yes,Medium,No Objections,High,Proposal Sent,Scalable Infrastructure,No Risk Identified,No,79.1,Partially Ready,No,73,76.37,HIGH,Prioritise - push for close this cycle.,3.37,3.3700000000000045
261,9,68.1,Neutral,High,7,Partially Approved,Indirect,High,No Objections,Very High,Proposal Sent,Standard Package,No Risk Identified,No,98.8,Ready,No,70,66.16,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.84,-3.8400000000000034
262,8,82.2,Positive,High,10,Partially Approved,Yes,Medium,No Objections,Very High,Verbal Agreement,API / Technical Integration,No Risk Identified,Yes,93.3,Fully Ready,Yes,99,89.19,HIGH,Prioritise - push for close this cycle.,9.81,-9.810000000000002
263,8,47.3,Positive,High,7,Under Review,Yes,High,No Objections,Very High,Verbal Agreement,Customized Integration,No Risk Identified,No,71.4,Not Ready,Yes,66,67.16,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.16,1.1599999999999966
264,8,11.5,Negative,Low,4,Not Allocated,No,High,Missing Features; Price Too High,Low,Rescheduled,Basic Feature Set,Economic Uncertainty,No,37.7,Ready,No,18,27.88,LOW,Qualify further before investing sales capacity.,9.88,9.879999999999999
265,6,49.9,Negative,Low,1,Not Allocated,No,Low,Long Implementation Time; Price Too High,High,Discussed Requirements,Customized Integration,Stakeholder Turnover,No,68.1,Partially Ready,No,33,27.65,LOW,Qualify further before investing sales capacity.,5.35,-5.350000000000001
266,9,92.1,Positive,High,9,Fully Approved,Yes,Low,No Objections,High,Verbal Agreement,Enterprise-grade Security,No Risk Identified,No,88.5,Ready,Yes,85,87.31,HIGH,Prioritise - push for close this cycle.,2.31,2.3100000000000023
267,6,85.7,Positive,Medium,8,Under Review,No,Low,No Objections,Very High,Proposal Sent,Compliance-driven Requirements,No Risk Identified,No,28.4,Fully Ready,Yes,52,52.99,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.99,0.990000000000002
268,10,97.9,Positive,High,7,Under Review,Indirect,Critical,Budget Not Allocated,Very High,Verbal Agreement,Standard Package,No Risk Identified,No,51.3,Ready,No,54,60.15,MEDIUM,"Nurture - resolve open objections, confirm budget.",6.15,6.149999999999999
269,7,44.8,Neutral,High,7,Not Allocated,Yes,High,Long Implementation Time,High,Proposal Sent,API / Technical Integration,No Risk Identified,No,24.5,Not Ready,Yes,39,48.45,LOW,Qualify further before investing sales capacity.,9.45,9.450000000000003
270,1,25.6,Negative,High,2,Under Review,No,High,No Objections,Low,No Show / Cancelled,Multi-department Rollout,Internal Politics,No,55.2,Partially Ready,No,23,28.48,LOW,Qualify further before investing sales capacity.,5.48,5.48
271,6,41.6,Negative,Medium,2,Under Review,No,Medium,Budget Not Allocated,Low,Proposal Sent,Multi-department Rollout,Competitor Pressure,Yes,10.6,Partially Ready,Yes,22,32.18,LOW,Qualify further before investing sales capacity.,10.18,10.18
272,12,46.0,Negative,High,4,Under Review,No,Critical,Competitor Preference; Security / Compliance Concerns; Unfavorable Contract Terms,Medium,Proposal Sent,Compliance-driven Requirements,No Risk Identified,Yes,84.0,Fully Ready,No,35,36.33,LOW,Qualify further before investing sales capacity.,1.33,1.3299999999999983
273,3,36.1,Negative,Medium,7,Under Review,No,Medium,Missing Features,Medium,Rescheduled,Enterprise-grade Security,No Risk Identified,Yes,24.1,Not Ready,No,30,30.93,LOW,Qualify further before investing sales capacity.,0.93,0.9299999999999997
274,4,23.0,Negative,Medium,1,Partially Approved,Indirect,High,Security / Compliance Concerns,Medium,Rescheduled,Compliance-driven Requirements,Economic Uncertainty,No,49.4,Not Ready,No,30,39.93,LOW,Qualify further before investing sales capacity.,9.93,9.93
275,7,21.1,Neutral,High,5,Fully Approved,Indirect,Critical,Lack of Internal Buy-in; Security / Compliance Concerns,Low,Discussed Requirements,Enterprise-grade Security,Stakeholder Turnover,No,61.0,Fully Ready,No,63,57.1,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.9,-5.899999999999999
276,7,78.4,Negative,High,3,Fully Approved,Indirect,High,Security / Compliance Concerns,High,Discussed Requirements,API / Technical Integration,No Risk Identified,No,30.6,Ready,No,64,64.99,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.99,0.9899999999999949
277,5,29.7,Neutral,High,5,Under Review,Indirect,Medium,Price Too High,Very High,Proposal Sent,Standard Package,No Risk Identified,No,52.3,Partially Ready,Yes,57,56.65,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.35,-0.3500000000000014
278,3,61.1,Negative,Medium,4,Partially Approved,Indirect,Medium,Lack of Internal Buy-in; Long Implementation Time; No Urgent Business Need; Security / Compliance Concerns,Medium,No Show / Cancelled,Enterprise-grade Security,Budget Constraints,No,6.7,Not Ready,No,34,34.28,LOW,Qualify further before investing sales capacity.,0.28,0.28000000000000114
279,4,21.7,Negative,Low,3,Under Review,No,Low,No Objections,Low,Proposal Sent,Scalable Infrastructure,No Risk Identified,Yes,37.4,Fully Ready,No,50,40.12,LOW,Qualify further before investing sales capacity.,9.88,-9.880000000000003
280,7,39.6,Neutral,Low,8,Not Allocated,No,Low,Budget Not Allocated; Missing Features,Medium,Proposal Sent,Customized Integration,Economic Uncertainty,No,51.0,Ready,No,41,32.73,LOW,Qualify further before investing sales capacity.,8.27,-8.270000000000003
281,7,96.9,Negative,Medium,3,Fully Approved,No,High,No Objections,Medium,Rescheduled,Customized Integration,No Risk Identified,No,67.2,Ready,No,46,53.94,MEDIUM,"Nurture - resolve open objections, confirm budget.",7.94,7.939999999999998
282,7,93.4,Neutral,High,9,Partially Approved,Yes,Medium,Security / Compliance Concerns,Very High,Discussed Requirements,Enterprise-grade Security,No Risk Identified,No,55.8,Partially Ready,No,70,71.91,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.91,1.9099999999999966
283,7,16.0,Positive,High,7,Fully Approved,Yes,Critical,Competitor Preference; Long Implementation Time; Security / Compliance Concerns,Low,Verbal Agreement,Compliance-driven Requirements,Economic Uncertainty,Yes,77.8,Partially Ready,Yes,72,66.29,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.71,-5.709999999999994
284,6,83.8,Negative,High,7,Under Review,Indirect,High,Security / Compliance Concerns,High,Verbal Agreement,Enterprise-grade Security,Stakeholder Turnover,No,92.7,Ready,No,62,54.73,MEDIUM,"Nurture - resolve open objections, confirm budget.",7.27,-7.270000000000003
285,9,73.6,Neutral,Medium,5,Not Allocated,Indirect,High,Security / Compliance Concerns,Very High,Proposal Sent,Basic Feature Set,No Risk Identified,No,63.6,Ready,Yes,45,47.94,LOW,Qualify further before investing sales capacity.,2.94,2.9399999999999977
286,7,22.0,Neutral,High,2,Partially Approved,Indirect,High,Long Implementation Time,Very High,Discussed Requirements,Enterprise-grade Security,No Risk Identified,No,44.8,Not Ready,No,50,51.68,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.68,1.6799999999999997
287,3,85.4,Negative,High,2,Fully Approved,No,High,No Objections,Medium,Proposal Sent,Basic Feature Set,No Risk Identified,No,61.3,Ready,No,61,64.63,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.63,3.6299999999999955
288,9,37.1,Positive,Medium,6,Under Review,Yes,Critical,Budget Not Allocated,High,Proposal Sent,Compliance-driven Requirements,Budget Constraints,No,69.7,Fully Ready,No,53,51.74,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.26,-1.259999999999998
289,4,27.2,Neutral,High,8,Under Review,No,Low,Budget Not Allocated; Price Too High,Very High,Rescheduled,Multi-department Rollout,Stakeholder Turnover,No,40.3,Not Ready,No,30,34.26,LOW,Qualify further before investing sales capacity.,4.26,4.259999999999998
290,8,72.9,Positive,Medium,10,Fully Approved,Yes,Low,No Urgent Business Need,Very High,Proposal Sent,Enterprise-grade Security,No Risk Identified,No,56.5,Partially Ready,No,76,72.68,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.32,-3.319999999999993
291,4,64.6,Negative,Medium,6,Fully Approved,No,Medium,No Objections,Medium,Rescheduled,Customized Integration,Stakeholder Turnover,Yes,60.0,Ready,No,44,43.64,LOW,Qualify further before investing sales capacity.,0.36,-0.35999999999999943
292,10,98.2,Neutral,Medium,9,Fully Approved,Indirect,Medium,No Objections,High,Verbal Agreement,Multi-department Rollout,Internal Politics,Yes,52.0,Fully Ready,Yes,62,66.49,MEDIUM,"Nurture - resolve open objections, confirm budget.",4.49,4.489999999999995
293,6,56.6,Neutral,High,5,Fully Approved,Indirect,Critical,No Objections,Medium,Discussed Requirements,Multi-department Rollout,No Risk Identified,No,64.2,Fully Ready,No,76,65.21,MEDIUM,"Nurture - resolve open objections, confirm budget.",10.79,-10.790000000000006
294,8,96.3,Positive,High,8,Fully Approved,Yes,Critical,No Objections,Very High,Verbal Agreement,API / Technical Integration,No Risk Identified,No,78.8,Ready,Yes,99,100.0,HIGH,Prioritise - push for close this cycle.,1.0,1.0
295,5,34.5,Neutral,Medium,4,Under Review,Indirect,Medium,Missing Features,Medium,No Show / Cancelled,Basic Feature Set,Budget Constraints,No,2.2,Partially Ready,No,43,39.1,LOW,Qualify further before investing sales capacity.,3.9,-3.8999999999999986
296,6,26.8,Neutral,Medium,6,Under Review,Indirect,Medium,Price Too High; Security / Compliance Concerns,Medium,Proposal Sent,Scalable Infrastructure,Competitor Pressure,Yes,21.6,Ready,Yes,43,44.39,LOW,Qualify further before investing sales capacity.,1.39,1.3900000000000006
297,6,41.9,Positive,Medium,7,Not Allocated,Indirect,Medium,Price Too High,Very High,Proposal Sent,Standard Package,No Risk Identified,No,19.6,Partially Ready,No,45,48.8,LOW,Qualify further before investing sales capacity.,3.8,3.799999999999997
298,5,80.6,Positive,High,9,Partially Approved,Yes,High,Missing Features,Very High,Verbal Agreement,Multi-department Rollout,No Risk Identified,No,56.2,Not Ready,No,81,77.15,HIGH,Prioritise - push for close this cycle.,3.85,-3.8499999999999943
299,5,81.2,Positive,High,8,Partially Approved,Indirect,Medium,Price Too High,High,Proposal Sent,Standard Package,Internal Politics,Yes,34.8,Fully Ready,Yes,69,63.14,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.86,-5.859999999999999
300,3,84.1,Negative,Low,4,Fully Approved,Indirect,Medium,Long Implementation Time,Low,No Show / Cancelled,Multi-department Rollout,No Risk Identified,No,15.4,Not Ready,No,42,38.95,LOW,Qualify further before investing sales capacity.,3.05,-3.049999999999997
